"2022-08-18T12:59:32Z",,3412,"Add ability to listen for resumption/suspension via a context element","https://github.com/Kotlin/kotlinx.coroutines/issues/3412","OPEN","enhancement"
"2022-08-16T18:22:14Z",,3409,"Add ability to specify cancellation propagation strategy when creating a Job/Deferred","https://github.com/Kotlin/kotlinx.coroutines/issues/3409","OPEN","enhancement/structured concurrency"
"2022-06-18T15:27:24Z","2023-03-09T13:02:33Z",3328,"Coroutines Exceptions Violate Serializable Interface","https://github.com/Kotlin/kotlinx.coroutines/issues/3328","CLOSED","enhancement"
"2022-06-15T21:26:34Z",,3322,"scope with job in completing state can still launch new coroutines","https://github.com/Kotlin/kotlinx.coroutines/issues/3322","OPEN","enhancement/design"
"2022-06-02T10:22:52Z",,3308,"Properly delegate calls to original DebugProbes when installing a debugger","https://github.com/Kotlin/kotlinx.coroutines/issues/3308","OPEN","enhancement/debug"
"2022-05-23T14:31:48Z","2023-03-09T13:02:55Z",3300,"Consider deprecating or changing the behaviour of CoroutineContext.isActive","https://github.com/Kotlin/kotlinx.coroutines/issues/3300","CLOSED","enhancement/design/breaking change/for 1.7"
"2022-04-28T12:56:23Z","2023-03-09T13:02:42Z",3268,"Merge kotlinx-coroutines-core and kotlinx-coroutines-jdk8","https://github.com/Kotlin/kotlinx.coroutines/issues/3268","CLOSED","enhancement/for 1.7"
"2022-04-21T15:46:29Z","2022-04-25T09:27:40Z",3261,"Provide ability to customize isDispatchNeeded for ExecutorService#asCoroutineDispatcher","https://github.com/Kotlin/kotlinx.coroutines/issues/3261","CLOSED","enhancement"
"2022-04-19T18:00:16Z",,3259,"Investigate possible shortcuts for `coroutineContext.job.invokeOnCompletion { if (it != null) ... }`","https://github.com/Kotlin/kotlinx.coroutines/issues/3259","OPEN","enhancement"
"2022-04-13T15:44:12Z",,3253,"Consolidate coroutines machinery for ""regular"" code paths and code paths for continuations that do not use kotlinx.coroutines-based ContinuationInterceptor","https://github.com/Kotlin/kotlinx.coroutines/issues/3253","OPEN","enhancement"
"2022-04-01T09:13:38Z","2023-03-09T13:02:40Z",3231,"Support user-defined thread or dispatcher name","https://github.com/Kotlin/kotlinx.coroutines/issues/3231","CLOSED","enhancement"
"2022-03-13T17:04:46Z","2022-05-27T16:09:01Z",3218,"JPMS: coroutines-core-jvm uses package name kotlinx.coroutines.test","https://github.com/Kotlin/kotlinx.coroutines/issues/3218","CLOSED","enhancement/for 1.7"
"2022-03-09T09:26:16Z",,3216,"Consider providing CoroutineContext.dispatcher extension property","https://github.com/Kotlin/kotlinx.coroutines/issues/3216","OPEN","enhancement"
"2022-02-25T04:39:31Z","2023-03-09T13:02:55Z",3205,"`Dispatchers.IO` not available on Kotlin/Native","https://github.com/Kotlin/kotlinx.coroutines/issues/3205","CLOSED","enhancement/native"
"2022-02-22T06:45:51Z","2023-03-09T13:02:34Z",3201,"[DEBUG-IMPROVEMENT] expose `job.parentJob`","https://github.com/Kotlin/kotlinx.coroutines/issues/3201","CLOSED","enhancement/debug"
"2022-02-08T16:39:15Z","2022-04-06T09:37:13Z",3178,"Add priorities to Dispatcher Views API","https://github.com/Kotlin/kotlinx.coroutines/issues/3178","CLOSED","enhancement"
"2022-01-25T15:33:15Z","2022-02-24T09:43:12Z",3156,"Investigate low coverage percantage of integration modules","https://github.com/Kotlin/kotlinx.coroutines/issues/3156","CLOSED","enhancement"
"2022-01-12T08:42:15Z",,3134,"The CompletableDeferred having strange constructors","https://github.com/Kotlin/kotlinx.coroutines/issues/3134","OPEN","enhancement/design"
"2022-01-11T18:15:00Z",,3132,"Introduce whileSelectUnbiased convenience function","https://github.com/Kotlin/kotlinx.coroutines/issues/3132","OPEN","enhancement"
"2021-12-06T20:09:39Z",,3065,"Feature Request: invokeOnCompletion handler for suspendCancellableCoroutine","https://github.com/Kotlin/kotlinx.coroutines/issues/3065","OPEN","enhancement"
"2021-10-15T12:28:08Z","2021-11-22T11:30:26Z",2990,"Task<T>.await() schedules its continuation on the main thread","https://github.com/Kotlin/kotlinx.coroutines/issues/2990","CLOSED","enhancement"
"2021-10-11T15:02:58Z",,2972,"Default `delay` behavior on Android creates additional threads when using external dispatchers","https://github.com/Kotlin/kotlinx.coroutines/issues/2972","OPEN","enhancement/breaking change"
"2021-10-08T00:47:23Z","2021-12-08T00:10:18Z",2970,"[Play Services Integration] Add support for CancellableTask's progress listener.","https://github.com/Kotlin/kotlinx.coroutines/issues/2970","CLOSED","enhancement"
"2021-09-20T17:01:27Z","2021-11-22T11:30:25Z",2943,"Elastic Dispatchers.IO unbounded for limitedParallelism","https://github.com/Kotlin/kotlinx.coroutines/issues/2943","CLOSED","enhancement/For 1.6"
"2021-09-20T11:03:57Z","2021-11-22T11:30:24Z",2941,"Add a way to check library version at runtime","https://github.com/Kotlin/kotlinx.coroutines/issues/2941","CLOSED","enhancement/For 1.6"
"2021-09-13T14:59:47Z",,2932,"Support injection of default context elements","https://github.com/Kotlin/kotlinx.coroutines/issues/2932","OPEN","enhancement"
"2021-09-06T17:25:36Z","2021-11-22T11:30:25Z",2919,"Introduce `CoroutineDispatcher.limitedParallelism` as an alternative to standalone executors and slices","https://github.com/Kotlin/kotlinx.coroutines/issues/2919","CLOSED","enhancement/design/For 1.6"
